date,artist,songs,id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
1970,The Jackson 5,"""ABC""",6wDviYDtmSDZ0S6TVMM9Vc,0.715,0.678,8.0,-11.842,1.0,0.0475,0.486,0.000192,0.15,0.947,94.769,audio_features,6wDviYDtmSDZ0S6TVMM9Vc,spotify:track:6wDviYDtmSDZ0S6TVMM9Vc,https://api.spotify.com/v1/tracks/6wDviYDtmSDZ0S6TVMM9Vc,https://api.spotify.com/v1/audio-analysis/6wDviYDtmSDZ0S6TVMM9Vc,177733.0,4.0
1970,The Jackson 5,"""The Love You Save""",2dYdai0GywuwYq6blSwDBV,0.755,0.713,9.0,-10.953,0.0,0.0513,0.411,0.0,0.118,0.946,113.656,audio_features,2dYdai0GywuwYq6blSwDBV,spotify:track:2dYdai0GywuwYq6blSwDBV,https://api.spotify.com/v1/tracks/2dYdai0GywuwYq6blSwDBV,https://api.spotify.com/v1/audio-analysis/2dYdai0GywuwYq6blSwDBV,181427.0,4.0
1970,Neil Diamond,"""Cracklin' Rosie""",5pkd9ib1RgbkAd1R9bIOCa,0.562,0.503,1.0,-14.836,1.0,0.0335,0.319,0.0,0.163,0.846,127.827,audio_features,5pkd9ib1RgbkAd1R9bIOCa,spotify:track:5pkd9ib1RgbkAd1R9bIOCa,https://api.spotify.com/v1/tracks/5pkd9ib1RgbkAd1R9bIOCa,https://api.spotify.com/v1/audio-analysis/5pkd9ib1RgbkAd1R9bIOCa,179933.0,4.0
1970,Dawn,"""Candida""",1QdrUOQkbXJbpNqOKgJpq5,0.783,0.596,7.0,-10.056,1.0,0.0676,0.235,0.0,0.0427,0.88,127.576,audio_features,1QdrUOQkbXJbpNqOKgJpq5,spotify:track:1QdrUOQkbXJbpNqOKgJpq5,https://api.spotify.com/v1/tracks/1QdrUOQkbXJbpNqOKgJpq5,https://api.spotify.com/v1/audio-analysis/1QdrUOQkbXJbpNqOKgJpq5,182370.0,4.0
1970,Sly & the Family Stone,"""Thank You (Falettinme Be Mice Elf Agin)""",74iQ3gahRTOGc19bYadBE3,0.9,0.709,9.0,-12.683,1.0,0.0636,0.296,0.00047,0.0863,0.897,105.822,audio_features,74iQ3gahRTOGc19bYadBE3,spotify:track:74iQ3gahRTOGc19bYadBE3,https://api.spotify.com/v1/tracks/74iQ3gahRTOGc19bYadBE3,https://api.spotify.com/v1/audio-analysis/74iQ3gahRTOGc19bYadBE3,291320.0,4.0
1970,Eric Burdon & War,"""Spill the Wine""",7AA8axgnW6Nc9j5d5jPbig,0.845,0.446,2.0,-11.963,0.0,0.0471,0.479,0.0,0.0671,0.961,119.478,audio_features,7AA8axgnW6Nc9j5d5jPbig,spotify:track:7AA8axgnW6Nc9j5d5jPbig,https://api.spotify.com/v1/tracks/7AA8axgnW6Nc9j5d5jPbig,https://api.spotify.com/v1/audio-analysis/7AA8axgnW6Nc9j5d5jPbig,246200.0,4.0
1970,Five Stairsteps,"""O-o-h Child""",74JdR9aXE6I74oS1BVRsvb,0.488,0.754,5.0,-7.95,0.0,0.0381,0.00154,2.42e-05,0.678,0.664,88.368,audio_features,74JdR9aXE6I74oS1BVRsvb,spotify:track:74JdR9aXE6I74oS1BVRsvb,https://api.spotify.com/v1/tracks/74JdR9aXE6I74oS1BVRsvb,https://api.spotify.com/v1/audio-analysis/74JdR9aXE6I74oS1BVRsvb,197160.0,4.0
1970,Norman Greenbaum,"""Spirit in the Sky""",0jvN7eQJJt4nxQzgQfZ1SP,0.609,0.617,9.0,-7.091,1.0,0.0307,0.0994,0.00404,0.118,0.543,128.903,audio_features,0jvN7eQJJt4nxQzgQfZ1SP,spotify:track:0jvN7eQJJt4nxQzgQfZ1SP,https://api.spotify.com/v1/tracks/0jvN7eQJJt4nxQzgQfZ1SP,https://api.spotify.com/v1/audio-analysis/0jvN7eQJJt4nxQzgQfZ1SP,242893.0,4.0
1970,Melanie,"""Lay Down (Candles in the Rain)""",66LevxamA5uN8xW2IzZYLg,0.317,0.866,7.0,-4.896,1.0,0.0703,0.426,0.000445,0.0792,0.603,94.372,audio_features,66LevxamA5uN8xW2IzZYLg,spotify:track:66LevxamA5uN8xW2IzZYLg,https://api.spotify.com/v1/tracks/66LevxamA5uN8xW2IzZYLg,https://api.spotify.com/v1/audio-analysis/66LevxamA5uN8xW2IzZYLg,459960.0,4.0
1970,Charles Wright & the Watts 103rd Street Rhythm Band,"""Love Land""",5tMuapLvDtmai49KiqXKnu,0.669,0.514,0.0,-11.221,0.0,0.0303,0.477,0.0,0.307,0.866,96.356,audio_features,5tMuapLvDtmai49KiqXKnu,spotify:track:5tMuapLvDtmai49KiqXKnu,https://api.spotify.com/v1/tracks/5tMuapLvDtmai49KiqXKnu,https://api.spotify.com/v1/audio-analysis/5tMuapLvDtmai49KiqXKnu,186973.0,4.0
